;hash-rate
31/08/2011 01:00;12.02809131
03/09/2011 01:00;12.28705573
06/09/2011 01:00;12.870168
09/09/2011 01:00;12.70055582
12/09/2011 01:00;12.58693256
15/09/2011 01:00;12.14618973
18/09/2011 01:00;11.94430825
21/09/2011 01:00;12.17937495
24/09/2011 01:00;12.25417152
27/09/2011 01:00;12.14197667
30/09/2011 01:00;11.65523754
03/10/2011 01:00;11.34753303
06/10/2011 01:00;11.04900922
09/10/2011 01:00;11.01301896
12/10/2011 01:00;10.48516184
15/10/2011 01:00;9.825340443
18/10/2011 01:00;9.317272701
21/10/2011 01:00;9.300634481
24/10/2011 01:00;8.466189305
27/10/2011 01:00;8.361925889
30/10/2011 01:00;8.372352231
02/11/2011 00:00;8.327252293
05/11/2011 00:00;8.526276317
08/11/2011 00:00;8.512159883
11/11/2011 00:00;8.725818515
14/11/2011 00:00;8.40960374
17/11/2011 00:00;8.445602465
20/11/2011 00:00;8.439707498
23/11/2011 00:00;7.926500581
26/11/2011 00:00;7.621635174
29/11/2011 00:00;7.392986119
02/12/2011 00:00;7.932839135
05/12/2011 00:00;8.230114335
08/12/2011 00:00;8.481521249
11/12/2011 00:00;8.249150804
14/12/2011 00:00;7.936283384
17/12/2011 00:00;7.642399829
20/12/2011 00:00;7.907177914
23/12/2011 00:00;8.169656849
26/12/2011 00:00;8.505957985
29/12/2011 00:00;8.844789594
01/01/2012 00:00;8.917107933
04/01/2012 00:00;8.5831636
07/01/2012 00:00;9.019735261
10/01/2012 00:00;9.461307725
13/01/2012 00:00;9.768831316
16/01/2012 00:00;9.388501174
19/01/2012 00:00;9.379618959
22/01/2012 00:00;9.406265603
25/01/2012 00:00;9.333958282
28/01/2012 00:00;9.576555798
31/01/2012 00:00;9.686121882
03/02/2012 00:00;10.02044632
06/02/2012 00:00;10.20152598
09/02/2012 00:00;10.08324074
12/02/2012 00:00;9.679950635
15/02/2012 00:00;9.836710969
18/02/2012 00:00;9.73873576
21/02/2012 00:00;10.054856
24/02/2012 00:00;10.49478066
27/02/2012 00:00;10.38951247
01/03/2012 00:00;11.00525968
04/03/2012 00:00;10.51750728
07/03/2012 00:00;10.3801804
10/03/2012 00:00;10.63074423
13/03/2012 00:00;11.63003418
16/03/2012 00:00;11.26858888
19/03/2012 00:00;11.2623591
22/03/2012 00:00;11.36240874
25/03/2012 00:00;11.51257533
28/03/2012 01:00;11.56577577
31/03/2012 01:00;11.82900504
03/04/2012 01:00;11.68712483
06/04/2012 01:00;11.29679587
09/04/2012 01:00;10.58063907
12/04/2012 01:00;11.05422663
15/04/2012 01:00;11.23043513
18/04/2012 01:00;10.54058835
21/04/2012 01:00;10.73486966
24/04/2012 01:00;11.4184052
27/04/2012 01:00;11.3623777
30/04/2012 01:00;11.17024035
03/05/2012 01:00;11.96521692
06/05/2012 01:00;12.2666139
09/05/2012 01:00;12.42731189
12/05/2012 01:00;12.64342618
15/05/2012 01:00;12.36856567
18/05/2012 01:00;11.02825124
21/05/2012 01:00;11.52058389
24/05/2012 01:00;11.32365083
27/05/2012 01:00;10.79952112
30/05/2012 01:00;10.93591683
02/06/2012 01:00;11.18597681
05/06/2012 01:00;11.50234788
08/06/2012 01:00;11.8300179
11/06/2012 01:00;12.0370979
14/06/2012 01:00;12.01152492
17/06/2012 01:00;12.26598795
20/06/2012 01:00;12.6932176
23/06/2012 01:00;12.33499121
26/06/2012 01:00;12.51723202
29/06/2012 01:00;12.76386298
02/07/2012 01:00;12.4818564
05/07/2012 01:00;12.53448055
08/07/2012 01:00;13.14301117
11/07/2012 01:00;13.54486955
14/07/2012 01:00;13.54486955
17/07/2012 01:00;13.01003999
20/07/2012 01:00;13.79249216
23/07/2012 01:00;13.75625939
26/07/2012 01:00;13.73126462
29/07/2012 01:00;14.8446104
01/08/2012 01:00;15.40145105
04/08/2012 01:00;15.5432419
07/08/2012 01:00;14.99849676
10/08/2012 01:00;15.7216644
13/08/2012 01:00;16.23937818
16/08/2012 01:00;17.16315851
19/08/2012 01:00;17.12975721
22/08/2012 01:00;17.7987668
25/08/2012 01:00;17.82988352
28/08/2012 01:00;18.03195132
31/08/2012 01:00;18.54599769
03/09/2012 01:00;18.75337889
06/09/2012 01:00;19.15201818
09/09/2012 01:00;20.63748681
12/09/2012 01:00;21.35228908
15/09/2012 01:00;19.95435567
18/09/2012 01:00;20.56656984
21/09/2012 01:00;20.99284413
24/09/2012 01:00;22.13229006
27/09/2012 01:00;21.94642792
30/09/2012 01:00;21.80405073
03/10/2012 01:00;21.43793793
06/10/2012 01:00;21.13559157
09/10/2012 01:00;21.26974888
12/10/2012 01:00;21.97433723
15/10/2012 01:00;22.40818397
18/10/2012 01:00;22.20897793
21/10/2012 01:00;22.63454363
24/10/2012 01:00;22.99616322
27/10/2012 01:00;22.99616322
30/10/2012 00:00;23.93433686
02/11/2012 00:00;24.45680662
05/11/2012 00:00;23.88593548
08/11/2012 00:00;24.14628575
11/11/2012 00:00;25.17877999
14/11/2012 00:00;24.36685165
17/11/2012 00:00;23.55039314
20/11/2012 00:00;23.4447252
23/11/2012 00:00;24.49734552
26/11/2012 00:00;24.66480784
29/11/2012 00:00;25.95652087
02/12/2012 00:00;26.18266273
05/12/2012 00:00;25.27604426
08/12/2012 00:00;23.42002555
11/12/2012 00:00;22.10127542
14/12/2012 00:00;22.78033607
17/12/2012 00:00;21.34595108
20/12/2012 00:00;20.7740481
23/12/2012 00:00;21.13304662
26/12/2012 00:00;21.63564456
29/12/2012 00:00;23.30971664
01/01/2013 00:00;23.29684709
04/01/2013 00:00;23.65664676
07/01/2013 00:00;22.85257469
10/01/2013 00:00;22.47556796
13/01/2013 00:00;21.86121764
16/01/2013 00:00;21.29967359
19/01/2013 00:00;20.6073765
22/01/2013 00:00;21.16121417
25/01/2013 00:00;22.01504724
28/01/2013 00:00;22.1280258
31/01/2013 00:00;22.30539592
03/02/2013 00:00;23.42283561
06/02/2013 00:00;24.8726576
09/02/2013 00:00;25.14463356
12/02/2013 00:00;25.2377553
15/02/2013 00:00;25.00514926
18/02/2013 00:00;27.30794906
21/02/2013 00:00;29.59510131
24/02/2013 00:00;30.77256206
27/02/2013 00:00;31.2945395
02/03/2013 00:00;32.12481166
05/03/2013 00:00;33.41230617
08/03/2013 00:00;34.08914211
11/03/2013 00:00;35.36089355
14/03/2013 00:00;34.46136204
17/03/2013 00:00;38.22467566
20/03/2013 00:00;42.98902391
23/03/2013 00:00;47.85131533
26/03/2013 00:00;52.65649086
29/03/2013 00:00;53.68090657
01/04/2013 01:00;52.40030936
04/04/2013 01:00;59.67548843
07/04/2013 01:00;59.22531031
10/04/2013 01:00;60.26299447
13/04/2013 01:00;64.73359302
16/04/2013 01:00;63.80727056
19/04/2013 01:00;66.69336865
22/04/2013 01:00;68.01745473
25/04/2013 01:00;70.29492659
28/04/2013 01:00;73.92757465
01/05/2013 01:00;75.22107937
04/05/2013 01:00;73.88575317
07/05/2013 01:00;75.27739834
10/05/2013 01:00;80.35790716
13/05/2013 01:00;85.00907721
16/05/2013 01:00;86.74510902
19/05/2013 01:00;86.38343731
22/05/2013 01:00;82.70322426
25/05/2013 01:00;85.56327812
28/05/2013 01:00;94.27157207
31/05/2013 01:00;99.52252389
03/06/2013 01:00;108.6605801
06/06/2013 01:00;123.8833178
09/06/2013 01:00;132.342721
12/06/2013 01:00;136.5337967
15/06/2013 01:00;139.193546
18/06/2013 01:00;143.4983815
21/06/2013 01:00;137.7097321
24/06/2013 01:00;149.9721199
27/06/2013 01:00;157.5256608
30/06/2013 01:00;160.3571893
03/07/2013 01:00;168.0375139
06/07/2013 01:00;175.2995432
09/07/2013 01:00;187.8750506
12/07/2013 01:00;203.8510744
15/07/2013 01:00;209.212084
18/07/2013 01:00;218.3088907
21/07/2013 01:00;222.0247868
24/07/2013 01:00;237.8693025
27/07/2013 01:00;247.2180145
30/07/2013 01:00;249.0506518
02/08/2013 01:00;278.5726988
05/08/2013 01:00;298.2627314
08/08/2013 01:00;324.086807
11/08/2013 01:00;355.031657
14/08/2013 01:00;395.3663822
17/08/2013 01:00;417.6460719
20/08/2013 01:00;449.9524544
23/08/2013 01:00;479.5403463
26/08/2013 01:00;510.1153164
29/08/2013 01:00;540.6423123
01/09/2013 01:00;584.5862042
04/09/2013 01:00;661.1613938
07/09/2013 01:00;725.4965437
10/09/2013 01:00;723.4877769
13/09/2013 01:00;796.3840345
16/09/2013 01:00;895.8337967
19/09/2013 01:00;935.2841392
22/09/2013 01:00;1003.784054
