,Returns,Volatility
GIS,0.24071642583107755,0.25369320153990293
GM,0.3479612005537486,0.46686279808721526
GPC,0.16051920868189282,0.38109769672387434
GILD,0.05355159946316641,0.3019397929238749
GL,0.1769161985613554,0.3784390349212359
GPN,0.3860124829094661,0.40663699655934027
GS,0.3639461079643224,0.3940186727528257
GWW,0.22534201962002173,0.3452870435046154
HAL,0.14379508069557717,0.6935647986602677
HBI,0.3408735874320809,0.5433197286743229
HIG,0.3042904664513974,0.474959416271581
HAS,0.17729074510254106,0.43508794079323726
HCA,0.29707043632843744,0.4536477650778482
PEAK,0.16281122682842153,0.42078759240659136
HSIC,0.12561079616002238,0.3493045005239331
HSY,0.2199966562786425,0.2770233897817965
HES,0.4172935962474781,0.6049412403457787
HPE,0.16076595677140387,0.42480058937283616
HLT,0.3136065822067996,0.3894252549466603
HFC,0.017080200713557255,0.6026596786376713
HOLX,0.3609217181871779,0.35981654380264033
HD,0.3087326501077683,0.32444372207511507
HON,0.2772102088721738,0.3311963224411117
HRL,0.09544951731597254,0.24942100436716216
HST,0.13207227585471099,0.4970211104398194
HWM,0.40464597363929355,0.5658859182601025
HPQ,0.2881212868577815,0.4334318705280143
HUM,0.2564222121565636,0.3987259348667415
HBAN,0.23009038004182952,0.48058859354332734
HII,0.09184829253967272,0.35144867240671945
IEX,0.2752912230649882,0.30038163716464855
IDXX,0.4994270750019297,0.34341819598948614
INFO,0.37242236308507665,0.3354786402447038
ITW,0.3033625355801156,0.32914301370175264
ILMN,0.20364715057500477,0.41039754791984445
INCY,0.17980968131922437,0.3756137726327869
IR,0.46943890612496514,0.42280016082711425
INTC,0.22842910260235197,0.4258133232572816
ICE,0.21681460238772765,0.2854801654720483
IBM,0.11653875048548797,0.32042353891848474
IP,0.20223001054120174,0.39857456612482384
IPG,0.25367709703620006,0.42445296997416904
IFF,0.0867980397823963,0.3748253553962919
INTU,0.3715279124620882,0.37326997807080287
ISRG,0.2745560635845698,0.3714085009203777
IVZ,0.33458283486694584,0.5515686866041047
IPGP,0.38548677853142016,0.47996084474427175
IQV,0.30409736085146954,0.37333616984539214
IRM,0.12982363317900847,0.3629273310623611
JKHY,0.1354359692782476,0.30283509381637286
J,0.40926990535593727,0.33200390923256323
JBHT,0.32022041433454346,0.33835120807108016
SJM,0.17168543905027295,0.27780323400004275
JNJ,0.14060054081244455,0.23782238722502771
JCI,0.35103161242848074,0.31946166821519817
JPM,0.2674901542156041,0.39322089162095175
JNPR,0.02103897919438277,0.30856559407347206
KSU,0.523539850187292,0.38515534078969
K,0.085144116732561,0.26673085885071596
KEY,0.2804458159083166,0.5514503547927452
KEYS,0.4542108405628527,0.3906251310034357
KMB,0.1294726329633833,0.25362120909455454
KIM,0.2553033731823685,0.5390718869892781
KMI,0.10712071372824021,0.40433846879078134
KLAC,0.6951120532912692,0.48979444087435353
KHC,0.05002557135813114,0.40642307980028197
KR,0.17131869880488435,0.310109516971768
LB,0.6515933708374622,0.7474884376266003
LHX,0.2415062768740821,0.3281896714117104
LH,0.3866484336799216,0.38039162632180484
LRCX,0.7906943748661756,0.5278258905359867
LW,0.11668276394308578,0.4311997425692472
LVS,0.1546115178301458,0.4534922268474706
LEG,0.2288892488734049,0.4964512201351725
LDOS,0.3337400426545602,0.34381550682139217
LEN,0.5476359729953085,0.5161842000803152
LLY,0.27444208404874154,0.3424464831414234
LNC,0.31789247761675227,0.6848465419450281
LIN,0.3036657451724215,0.30308452742089165
LYV,0.3920820559342014,0.5322623188679866
LKQ,0.37689884866747736,0.4870938459090838
LMT,0.19547981503303952,0.3051785974355221
L,0.14542630976753132,0.4174191477123933
LOW,0.40241722527804935,0.3917818093660779
LUMN,0.4416262715224756,0.5890955420642109
LYB,0.23358799338247105,0.5192493649447311
MTB,0.13060970476580083,0.4741101281578981
MRO,0.13599322712121364,0.7218428397598812
MPC,0.14060623609520465,0.610981273738415
MKTX,0.46689071014509226,0.3996120378791046
MAR,0.2601411992181121,0.486321447432526
MMC,0.23040457255577612,0.2735771513065428
MLM,0.38750018448749074,0.414813201274199
MAS,0.37350931393356807,0.3417713764151787
MA,0.3492891167693423,0.37116393645236107
MKC,0.16637615024334465,0.29719566711654155
MXIM,0.32820804422178673,0.36478738769048696
MCD,0.1505702340528754,0.293179141218137
MCK,0.3102162243760146,0.3673982685483619
