Date;hash-rate
12/19/2011 0:00;8.670007319
12/22/2011 0:00;7.923582848
12/25/2011 0:00;9.99060446
12/28/2011 0:00;8.649061209
12/31/2011 0:00;9.283325697
1/3/2012 0:00;9.340986105
1/6/2012 0:00;9.80226937
1/9/2012 0:00;10.01025622
1/12/2012 0:00;10.32113374
1/15/2012 0:00;9.20197466
1/18/2012 0:00;8.828921633
1/21/2012 0:00;11.1294153
1/24/2012 0:00;8.77601647
1/27/2012 0:00;9.036046588
1/30/2012 0:00;10.79124988
2/2/2012 0:00;10.59622729
2/5/2012 0:00;9.327239883
2/8/2012 0:00;9.052909298
2/11/2012 0:00;9.464405175
2/14/2012 0:00;9.327239883
2/17/2012 0:00;9.73873576
2/20/2012 0:00;9.988788097
2/23/2012 0:00;11.49394795
2/26/2012 0:00;10.39928624
2/29/2012 0:00;12.72544237
3/3/2012 0:00;8.855409941
3/6/2012 0:00;11.01345102
3/9/2012 0:00;12.35292479
3/12/2012 0:00;12.57617042
3/15/2012 0:00;9.599562037
3/18/2012 0:00;11.61897621
3/21/2012 0:00;12.06585992
3/24/2012 0:00;12.81066608
3/27/2012 1:00;11.02313128
3/30/2012 1:00;12.12846182
4/2/2012 1:00;10.26876434
4/5/2012 1:00;9.621913043
4/8/2012 1:00;11.80503617
4/11/2012 1:00;11.56246693
4/14/2012 1:00;10.43232114
4/17/2012 1:00;11.13826769
4/20/2012 1:00;12.15796825
4/23/2012 1:00;11.60889871
4/26/2012 1:00;12.07952974
4/29/2012 1:00;12.44873829
5/2/2012 1:00;11.5488295
5/5/2012 1:00;11.6988143
5/8/2012 1:00;13.94858628
5/11/2012 1:00;10.59746018
5/14/2012 1:00;12.32062444
5/17/2012 1:00;10.16666911
5/20/2012 1:00;12.23446622
5/23/2012 1:00;10.42514375
5/26/2012 1:00;10.67752332
5/29/2012 1:00;10.75661609
6/1/2012 1:00;11.94300757
6/4/2012 1:00;11.94300757
6/7/2012 1:00;9.965688435
6/10/2012 1:00;13.3790336
6/13/2012 1:00;12.74943202
6/16/2012 1:00;12.59203163
6/19/2012 1:00;14.32343598
6/22/2012 1:00;12.10176058
6/25/2012 1:00;13.13169765
6/28/2012 1:00;11.58679204
7/1/2012 1:00;11.84427631
7/4/2012 1:00;13.84337907
7/7/2012 1:00;14.80109712
7/10/2012 1:00;13.14685686
7/13/2012 1:00;14.01750963
7/16/2012 1:00;12.88566102
7/19/2012 1:00;13.26737055
7/22/2012 1:00;12.89625529
7/25/2012 1:00;14.28793751
7/28/2012 1:00;15.77239855
7/31/2012 1:00;13.46538137
8/3/2012 1:00;17.51512013
8/6/2012 1:00;14.27532912
8/9/2012 1:00;16.09771157
8/12/2012 1:00;18.40554294
8/15/2012 1:00;18.62336001
8/18/2012 1:00;16.11846364
8/21/2012 1:00;19.7124454
8/24/2012 1:00;16.98973194
8/27/2012 1:00;18.07742531
8/30/2012 1:00;19.16935033
9/2/2012 1:00;18.56272532
9/5/2012 1:00;21.83850037
9/8/2012 1:00;18.74905902
9/11/2012 1:00;21.15965232
9/14/2012 1:00;21.69533972
9/17/2012 1:00;23.57024562
9/20/2012 1:00;20.92944794
9/23/2012 1:00;21.21420234
9/26/2012 1:00;20.35993916
9/29/2012 1:00;23.91936908
10/2/2012 1:00;19.36329878
10/5/2012 1:00;20.65110469
10/8/2012 1:00;25.20649543
10/11/2012 1:00;20.9547974
10/14/2012 1:00;20.9547974
10/17/2012 1:00;21.53435778
10/20/2012 1:00;21.07617995
10/23/2012 1:00;20.92345401
10/26/2012 1:00;24.58887661
10/29/2012 0:00;24.13069879
11/1/2012 0:00;22.17516038
11/4/2012 0:00;26.28167156
11/7/2012 0:00;25.78889022
11/10/2012 0:00;26.28167156
11/13/2012 0:00;22.77487591
11/16/2012 0:00;23.61218753
11/19/2012 0:00;20.59786571
11/22/2012 0:00;24.61696146
11/25/2012 0:00;23.61218753
11/28/2012 0:00;28.89039649
12/1/2012 0:00;27.35185466
12/4/2012 0:00;18.97534917
12/7/2012 0:00;21.19768736
12/10/2012 0:00;24.27477101
12/13/2012 0:00;22.78443985
12/16/2012 0:00;19.26625428
12/19/2012 0:00;23.95716837
12/22/2012 0:00;24.12470102
12/25/2012 0:00;20.60651545
12/28/2012 0:00;26.06886297
12/31/2012 0:00;24.88391466
1/3/2013 0:00;23.69896634
1/6/2013 0:00;21.03283263
1/9/2013 0:00;21.64582213
1/12/2013 0:00;19.22278234
1/15/2013 0:00;20.51507022
